Machine_ID,Machine_Model,Rated_Capacity_kW,Timestamp,Power_kW,Energy_kWh,Production_Output,Load_%,Power_Factor,Temperature,Operating_Status,Shift,Operator_ID,Electricity_Tariff_INR_per_kWh,Maintenance_Cost_per_hour,CO2_Emission_Factor_kg_per_kWh,Ambient_Temperature,Contract_Demand_kW,True_Anomaly_Label,Downtime_Minutes,Idle_Flag
MCH-001,Siemens S7-1500,150,2024-01-02 03:00:00,87.55,87.55,8,58.37,0.967,61.9,Running,Night,OPR-003,8.86,191.02,0.819,26.1,800,0,0,0
MCH-002,ABB ACS880,200,2024-01-02 04:00:00,153.9,153.9,118,76.95,0.935,68.0,Running,Night,OPR-001,7.09,124.08,0.787,27.3,600,0,0,0
MCH-003,Fanuc 30i,100,2024-01-02 05:00:00,77.73,77.73,49,77.73,0.898,68.6,Running,Night,OPR-006,11.89,123.01,0.816,27.9,500,0,0,0
MCH-003,Fanuc 30i,100,2024-01-02 06:00:00,10.03,10.03,0,10.03,0.89,33.0,Idle,Morning,OPR-005,8.15,124.88,0.803,28.6,500,0,44,1
MCH-001,Siemens S7-1500,150,2024-01-02 07:00:00,142.17,142.17,114,94.78,0.886,80.0,Running,Morning,OPR-009,11.77,99.61,0.802,31.3,800,0,0,0
MCH-003,Fanuc 30i,100,2024-01-02 08:00:00,0.0,0.0,0,0.0,0.0,20.8,Off,Morning,OPR-005,7.95,90.27,0.799,26.6,500,1,86,0
MCH-002,ABB ACS880,200,2024-01-02 09:00:00,60.14,60.14,0,30.07,0.924,74.2,Idle,Morning,OPR-006,8.79,88.12,0.792,29.1,600,0,60,1
MCH-002,ABB ACS880,200,2024-01-02 10:00:00,23.94,23.94,0,11.97,0.899,33.0,Idle,Morning,OPR-010,11.05,171.52,0.815,29.7,600,1,28,1
MCH-005,Bosch Rexroth,300,2024-01-02 11:00:00,165.62,165.62,79,55.21,0.875,57.3,Running,Morning,OPR-003,8.69,106.34,0.784,25.4,700,0,0,0
MCH-003,Fanuc 30i,100,2024-01-02 12:00:00,76.71,76.71,71,76.71,0.927,66.7,Running,Morning,OPR-004,7.19,95.49,0.801,33.0,500,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-02 13:00:00,103.27,103.27,0,34.42,0.931,71.1,Idle,Morning,OPR-004,9.06,154.93,0.786,31.7,700,0,56,1
MCH-005,Bosch Rexroth,300,2024-01-02 14:00:00,406.74,406.74,0,135.58,0.0,27.1,Running,Afternoon,OPR-003,10.98,90.62,0.798,29.4,700,1,0,1
MCH-002,ABB ACS880,200,2024-01-02 15:00:00,187.01,187.01,164,93.5,0.94,76.5,Running,Afternoon,OPR-010,11.58,116.35,0.79,36.1,600,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-02 16:00:00,99.3,99.3,127,66.2,0.946,65.1,Running,Afternoon,OPR-006,10.65,57.16,0.803,36.0,800,0,0,0
MCH-003,Fanuc 30i,100,2024-01-02 17:00:00,5.14,5.14,0,5.14,0.858,29.7,Idle,Afternoon,OPR-001,8.56,196.93,0.787,31.5,500,1,14,1
MCH-002,ABB ACS880,200,2024-01-02 18:00:00,26.14,26.14,0,13.07,0.874,33.8,Idle,Afternoon,OPR-005,8.99,142.38,0.805,27.4,600,1,30,1
MCH-002,ABB ACS880,200,2024-01-02 19:00:00,111.22,111.22,105,55.61,0.915,60.3,Running,Afternoon,OPR-004,10.08,191.58,0.818,25.8,600,0,0,0
MCH-004,Mitsubishi M800,250,2024-01-02 20:00:00,231.52,231.52,126,92.61,0.9,77.5,Running,Afternoon,OPR-001,11.06,173.1,0.805,30.5,550,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-02 21:00:00,0.0,0.0,0,0.0,0.0,29.1,Off,Afternoon,OPR-002,7.19,142.74,0.793,28.5,800,1,169,0
MCH-002,ABB ACS880,200,2024-01-02 22:00:00,177.59,177.59,47,88.8,0.956,73.7,Running,Night,OPR-004,10.46,102.25,0.817,26.0,600,0,0,0
MCH-004,Mitsubishi M800,250,2024-01-02 23:00:00,234.26,234.26,123,93.7,0.905,77.6,Running,Night,OPR-003,11.95,111.89,0.795,29.0,550,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-03 00:00:00,246.58,246.58,132,82.19,0.881,71.3,Running,Night,OPR-001,9.53,173.97,0.793,25.3,700,0,0,0
MCH-003,Fanuc 30i,100,2024-01-03 01:00:00,57.14,57.14,110,57.14,0.96,59.8,Running,Night,OPR-004,9.87,144.78,0.798,32.3,500,0,0,0
MCH-003,Fanuc 30i,100,2024-01-03 02:00:00,77.15,77.15,63,77.15,0.973,71.4,Running,Night,OPR-007,7.46,124.16,0.782,27.1,500,0,0,0
MCH-002,ABB ACS880,200,2024-01-03 03:00:00,181.02,181.02,92,90.51,0.865,73.6,Running,Night,OPR-010,11.18,180.03,0.814,30.3,600,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-03 04:00:00,212.6,212.6,130,70.87,0.869,67.0,Running,Night,OPR-006,11.93,106.14,0.795,27.5,700,0,0,0
MCH-004,Mitsubishi M800,250,2024-01-03 05:00:00,228.27,228.27,126,91.31,0.896,77.3,Running,Night,OPR-003,10.89,133.76,0.797,29.2,550,0,0,0
MCH-002,ABB ACS880,200,2024-01-03 06:00:00,144.76,144.76,63,72.38,0.903,68.0,Running,Morning,OPR-004,7.59,67.63,0.806,29.4,600,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-03 07:00:00,96.75,96.75,70,64.5,0.912,61.5,Running,Morning,OPR-001,8.12,194.48,0.78,26.5,800,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-03 08:00:00,271.94,271.94,117,90.65,0.979,73.2,Running,Morning,OPR-003,10.48,61.32,0.787,32.8,700,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-03 09:00:00,109.77,109.77,105,73.18,0.926,70.3,Running,Morning,OPR-009,11.58,193.81,0.782,31.2,800,0,0,0
MCH-004,Mitsubishi M800,250,2024-01-03 10:00:00,171.07,171.07,51,68.43,0.934,65.1,Running,Morning,OPR-002,8.33,104.05,0.79,32.5,550,0,0,0
MCH-003,Fanuc 30i,100,2024-01-03 11:00:00,76.44,76.44,73,76.44,0.956,70.5,Running,Morning,OPR-003,11.11,192.47,0.809,32.2,500,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-03 12:00:00,138.46,138.46,166,92.31,0.856,73.7,Running,Morning,OPR-001,10.89,122.06,0.819,36.8,800,0,0,0
MCH-003,Fanuc 30i,100,2024-01-03 13:00:00,34.84,34.84,0,34.84,0.959,68.6,Idle,Morning,OPR-002,7.18,70.08,0.781,36.8,500,0,36,1
MCH-004,Mitsubishi M800,250,2024-01-03 14:00:00,37.49,37.49,0,15.0,0.92,34.7,Idle,Afternoon,OPR-005,10.63,163.56,0.795,31.8,550,0,13,1
MCH-005,Bosch Rexroth,300,2024-01-03 15:00:00,180.5,180.5,116,60.17,0.929,60.4,Running,Afternoon,OPR-001,10.78,57.03,0.791,31.2,700,0,0,0
MCH-002,ABB ACS880,200,2024-01-03 16:00:00,148.1,148.1,129,74.05,0.89,70.2,Running,Afternoon,OPR-005,7.44,168.77,0.804,30.3,600,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-03 17:00:00,249.49,249.49,68,83.16,0.868,69.5,Running,Afternoon,OPR-006,10.04,145.5,0.802,27.6,700,0,0,0
MCH-003,Fanuc 30i,100,2024-01-03 18:00:00,0.0,0.0,0,0.0,0.0,23.5,Off,Afternoon,OPR-006,9.25,186.57,0.792,28.1,500,1,51,0
MCH-002,ABB ACS880,200,2024-01-03 19:00:00,28.99,28.99,0,14.49,0.86,36.1,Idle,Afternoon,OPR-010,10.84,59.94,0.782,27.2,600,1,12,1
MCH-005,Bosch Rexroth,300,2024-01-03 20:00:00,190.1,190.1,86,63.37,0.894,63.7,Running,Afternoon,OPR-007,7.64,72.79,0.786,31.6,700,0,0,0
MCH-004,Mitsubishi M800,250,2024-01-03 21:00:00,172.07,172.07,126,68.83,0.912,67.0,Running,Afternoon,OPR-002,10.01,83.58,0.813,27.9,550,0,0,0
MCH-002,ABB ACS880,200,2024-01-03 22:00:00,124.16,124.16,39,62.08,0.866,62.7,Running,Night,OPR-010,11.47,69.31,0.793,27.2,600,0,0,0
MCH-003,Fanuc 30i,100,2024-01-03 23:00:00,86.98,86.98,125,86.98,0.861,76.4,Running,Night,OPR-001,8.38,170.93,0.81,29.3,500,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-04 00:00:00,0.0,0.0,0,0.0,0.0,25.4,Off,Night,OPR-008,9.42,142.74,0.795,26.1,700,1,173,0
MCH-002,ABB ACS880,200,2024-01-04 01:00:00,10.73,10.73,0,5.37,0.868,32.5,Idle,Night,OPR-007,9.56,129.82,0.784,31.4,600,0,43,1
MCH-002,ABB ACS880,200,2024-01-04 02:00:00,141.77,141.77,46,70.89,0.946,65.0,Running,Night,OPR-007,8.61,81.72,0.793,25.6,600,0,0,0
MCH-004,Mitsubishi M800,250,2024-01-04 03:00:00,171.79,171.79,83,68.72,0.896,66.8,Running,Night,OPR-002,7.43,130.57,0.803,32.9,550,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-04 04:00:00,105.23,105.23,70,70.15,0.967,67.2,Running,Night,OPR-008,9.49,99.55,0.817,31.2,800,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-04 05:00:00,183.34,183.34,53,61.11,0.871,60.6,Running,Night,OPR-008,11.48,62.04,0.801,26.6,700,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-04 06:00:00,0.0,0.0,0,0.0,0.0,21.1,Off,Morning,OPR-002,9.88,187.61,0.78,25.0,700,1,67,0
MCH-001,Siemens S7-1500,150,2024-01-04 07:00:00,125.87,125.87,145,83.91,0.943,73.0,Running,Morning,OPR-010,8.4,165.42,0.787,31.5,800,0,0,0
MCH-004,Mitsubishi M800,250,2024-01-04 08:00:00,188.26,188.26,65,75.3,0.865,69.5,Running,Morning,OPR-006,9.91,73.15,0.799,30.7,550,0,0,0
MCH-003,Fanuc 30i,100,2024-01-04 09:00:00,69.77,69.77,82,69.77,0.921,66.7,Running,Morning,OPR-002,8.61,171.48,0.79,30.8,500,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-04 10:00:00,179.0,179.0,72,59.67,0.929,63.6,Running,Morning,OPR-001,11.25,161.9,0.796,31.2,700,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-04 11:00:00,43.15,43.15,0,14.38,0.863,32.6,Idle,Morning,OPR-008,10.61,57.21,0.811,25.6,700,0,32,1
MCH-003,Fanuc 30i,100,2024-01-04 12:00:00,7.02,7.02,0,7.02,0.861,30.8,Idle,Morning,OPR-005,8.18,145.06,0.816,31.7,500,0,54,1
MCH-001,Siemens S7-1500,150,2024-01-04 13:00:00,13.39,13.39,0,8.93,0.907,32.4,Idle,Morning,OPR-003,10.12,130.97,0.798,32.7,800,0,14,1
MCH-001,Siemens S7-1500,150,2024-01-04 14:00:00,136.47,136.47,97,90.98,0.921,78.4,Running,Afternoon,OPR-003,9.71,114.73,0.793,38.1,800,0,0,0
MCH-003,Fanuc 30i,100,2024-01-04 15:00:00,60.57,60.57,102,60.57,0.931,62.5,Running,Afternoon,OPR-007,9.87,199.65,0.81,33.3,500,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-04 16:00:00,254.27,254.27,46,84.76,0.924,74.7,Running,Afternoon,OPR-010,8.71,173.19,0.784,32.3,700,0,0,0
MCH-004,Mitsubishi M800,250,2024-01-04 17:00:00,197.9,197.9,99,79.16,0.92,70.5,Running,Afternoon,OPR-004,10.61,158.01,0.806,25.5,550,0,0,0
MCH-003,Fanuc 30i,100,2024-01-04 18:00:00,83.65,83.65,116,83.65,0.957,75.4,Running,Afternoon,OPR-008,9.92,110.13,0.798,27.5,500,0,0,0
MCH-003,Fanuc 30i,100,2024-01-04 19:00:00,78.45,78.45,98,78.45,0.929,67.4,Running,Afternoon,OPR-004,11.59,168.51,0.781,27.6,500,0,0,0
MCH-002,ABB ACS880,200,2024-01-04 20:00:00,17.49,17.49,0,8.74,0.855,30.9,Idle,Afternoon,OPR-008,11.2,186.6,0.785,30.8,600,0,16,1
MCH-005,Bosch Rexroth,300,2024-01-04 21:00:00,0.0,0.0,0,0.0,0.0,28.4,Off,Afternoon,OPR-006,11.19,99.82,0.792,30.1,700,1,149,0
MCH-003,Fanuc 30i,100,2024-01-04 22:00:00,70.96,70.96,41,70.96,0.894,68.7,Running,Night,OPR-005,10.02,67.14,0.797,32.1,500,0,0,0
MCH-002,ABB ACS880,200,2024-01-04 23:00:00,0.0,0.0,0,0.0,0.0,23.5,Off,Night,OPR-002,9.4,187.77,0.803,28.8,600,1,145,0
MCH-003,Fanuc 30i,100,2024-01-05 00:00:00,60.63,60.63,46,60.63,0.915,61.8,Running,Night,OPR-008,8.56,167.07,0.791,26.0,500,0,0,0
MCH-002,ABB ACS880,200,2024-01-05 01:00:00,163.08,163.08,8,81.54,0.975,69.6,Running,Night,OPR-006,11.3,130.26,0.787,30.7,600,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-05 02:00:00,106.34,106.34,80,70.89,0.954,66.0,Running,Night,OPR-001,7.18,120.81,0.803,31.1,800,0,0,0
MCH-002,ABB ACS880,200,2024-01-05 03:00:00,167.12,167.12,107,83.56,0.919,72.5,Running,Night,OPR-006,10.83,65.45,0.793,29.5,600,0,0,0
MCH-003,Fanuc 30i,100,2024-01-05 04:00:00,65.83,65.83,96,65.83,0.903,61.8,Running,Night,OPR-002,11.33,111.2,0.802,31.2,500,0,0,0
MCH-003,Fanuc 30i,100,2024-01-05 05:00:00,81.88,81.88,43,81.88,0.864,73.6,Running,Night,OPR-003,11.44,133.51,0.809,29.0,500,0,0,0
MCH-003,Fanuc 30i,100,2024-01-05 06:00:00,27.06,27.06,0,27.06,0.958,72.1,Idle,Morning,OPR-005,7.71,110.96,0.793,29.2,500,0,37,1
MCH-002,ABB ACS880,200,2024-01-05 07:00:00,259.4,259.4,47,129.7,0.853,59.4,Running,Morning,OPR-004,10.21,155.59,0.816,28.4,600,1,0,0
MCH-005,Bosch Rexroth,300,2024-01-05 08:00:00,196.13,196.13,69,65.38,0.927,63.0,Running,Morning,OPR-005,8.73,166.08,0.795,25.2,700,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-05 09:00:00,278.81,278.81,152,92.94,0.868,79.0,Running,Morning,OPR-008,11.93,120.66,0.787,25.9,700,0,0,0
MCH-002,ABB ACS880,200,2024-01-05 10:00:00,131.49,131.49,86,65.75,0.932,63.1,Running,Morning,OPR-006,10.23,113.26,0.785,25.3,600,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-05 11:00:00,197.68,197.68,34,65.89,0.969,62.4,Running,Morning,OPR-004,9.49,60.08,0.796,30.1,700,0,0,0
MCH-002,ABB ACS880,200,2024-01-05 12:00:00,63.24,63.24,0,31.62,0.86,30.9,Idle,Morning,OPR-006,10.66,87.61,0.805,34.0,600,0,50,1
MCH-005,Bosch Rexroth,300,2024-01-05 13:00:00,274.73,274.73,103,91.58,0.9,76.3,Running,Morning,OPR-002,7.83,160.71,0.783,35.8,700,0,0,0
MCH-004,Mitsubishi M800,250,2024-01-05 14:00:00,14.21,14.21,0,5.68,0.909,31.5,Idle,Afternoon,OPR-004,10.6,94.57,0.803,39.2,550,0,22,1
MCH-002,ABB ACS880,200,2024-01-05 15:00:00,186.33,186.33,65,93.17,0.913,75.5,Running,Afternoon,OPR-004,7.81,176.23,0.814,30.7,600,0,0,0
MCH-003,Fanuc 30i,100,2024-01-05 16:00:00,68.37,68.37,113,68.37,0.864,63.2,Running,Afternoon,OPR-001,9.06,155.74,0.804,32.9,500,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-05 17:00:00,131.65,131.65,149,87.77,0.94,73.1,Running,Afternoon,OPR-002,7.52,97.19,0.812,31.0,800,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-05 18:00:00,139.51,139.51,108,93.01,0.874,77.1,Running,Afternoon,OPR-008,10.79,145.84,0.81,26.8,800,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-05 19:00:00,266.9,266.9,77,88.97,0.914,73.4,Running,Afternoon,OPR-010,7.26,150.49,0.782,25.6,700,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-05 20:00:00,116.58,116.58,145,77.72,0.854,71.2,Running,Afternoon,OPR-009,7.96,67.29,0.797,27.3,800,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-05 21:00:00,268.45,268.45,158,89.48,0.891,77.2,Running,Afternoon,OPR-001,10.25,104.7,0.802,26.3,700,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-05 22:00:00,94.51,94.51,0,31.5,0.944,69.7,Idle,Night,OPR-008,9.7,168.61,0.793,32.4,700,0,60,1
MCH-002,ABB ACS880,200,2024-01-05 23:00:00,144.15,144.15,130,72.08,0.904,67.2,Running,Night,OPR-002,7.11,181.21,0.801,31.5,600,0,0,0
MCH-003,Fanuc 30i,100,2024-01-06 00:00:00,55.38,55.38,32,55.38,0.862,57.1,Running,Night,OPR-009,9.9,90.75,0.796,30.1,500,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-06 01:00:00,113.85,113.85,121,75.9,0.85,69.0,Running,Night,OPR-008,8.44,94.45,0.789,32.0,800,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-06 02:00:00,137.12,137.12,51,91.41,0.864,75.5,Running,Night,OPR-004,8.09,192.49,0.811,31.4,800,0,0,0
MCH-003,Fanuc 30i,100,2024-01-06 03:00:00,94.29,94.29,172,94.29,0.928,79.9,Running,Night,OPR-002,7.84,198.68,0.789,26.5,500,0,0,0
MCH-004,Mitsubishi M800,250,2024-01-06 04:00:00,18.26,18.26,0,7.3,0.656,30.7,Idle,Night,OPR-002,8.92,55.51,0.818,32.1,550,1,25,1
MCH-005,Bosch Rexroth,300,2024-01-06 05:00:00,281.29,281.29,171,93.76,0.971,80.2,Running,Night,OPR-010,9.58,123.68,0.82,29.3,700,0,0,0
MCH-003,Fanuc 30i,100,2024-01-06 06:00:00,7.24,7.24,0,7.24,0.866,32.3,Idle,Morning,OPR-009,11.47,179.02,0.798,31.5,500,1,30,1
MCH-003,Fanuc 30i,100,2024-01-06 07:00:00,74.07,74.07,41,74.07,0.961,65.5,Running,Morning,OPR-008,11.66,160.28,0.791,32.2,500,0,0,0
MCH-004,Mitsubishi M800,250,2024-01-06 08:00:00,163.48,163.48,103,65.39,0.64,61.9,Running,Morning,OPR-005,11.96,59.23,0.815,27.5,550,1,0,0
MCH-005,Bosch Rexroth,300,2024-01-06 09:00:00,0.0,0.0,0,0.0,0.0,25.7,Off,Morning,OPR-008,10.39,134.86,0.791,25.9,700,1,159,0
MCH-003,Fanuc 30i,100,2024-01-06 10:00:00,115.08,115.08,0,115.08,0.861,30.9,Running,Morning,OPR-009,11.65,65.88,0.808,26.8,500,1,0,1
MCH-004,Mitsubishi M800,250,2024-01-06 11:00:00,225.59,225.59,163,90.24,0.854,77.6,Running,Morning,OPR-010,11.1,84.29,0.816,28.4,550,0,0,0
MCH-002,ABB ACS880,200,2024-01-06 12:00:00,26.64,26.64,0,13.32,0.886,32.0,Idle,Morning,OPR-001,9.8,67.38,0.795,34.9,600,0,51,1
MCH-005,Bosch Rexroth,300,2024-01-06 13:00:00,18.21,18.21,0,6.07,0.903,32.0,Idle,Morning,OPR-002,8.71,144.89,0.817,36.5,700,0,19,1
MCH-005,Bosch Rexroth,300,2024-01-06 14:00:00,20.21,20.21,0,6.74,0.904,33.8,Idle,Afternoon,OPR-001,10.85,156.29,0.799,29.5,700,1,41,1
MCH-002,ABB ACS880,200,2024-01-06 15:00:00,178.19,178.19,176,89.09,0.938,74.8,Running,Afternoon,OPR-003,9.97,107.54,0.783,33.1,600,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-06 16:00:00,111.82,111.82,123,74.55,0.939,68.2,Running,Afternoon,OPR-002,11.99,113.93,0.798,34.2,800,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-06 17:00:00,191.49,191.49,39,63.83,0.938,64.7,Running,Afternoon,OPR-003,11.75,72.66,0.797,26.8,700,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-06 18:00:00,0.0,0.0,0,0.0,0.0,28.6,Off,Afternoon,OPR-004,8.99,91.13,0.819,26.0,700,1,69,0
MCH-001,Siemens S7-1500,150,2024-01-06 19:00:00,125.97,125.97,135,83.98,0.876,75.0,Running,Afternoon,OPR-008,8.84,179.65,0.799,27.7,800,0,0,0
MCH-004,Mitsubishi M800,250,2024-01-06 20:00:00,224.36,224.36,149,89.74,0.95,77.5,Running,Afternoon,OPR-004,7.09,169.52,0.792,32.5,550,0,0,0
MCH-004,Mitsubishi M800,250,2024-01-06 21:00:00,0.0,0.0,0,0.0,0.0,21.9,Off,Afternoon,OPR-009,7.01,139.75,0.804,27.6,550,1,130,0
MCH-004,Mitsubishi M800,250,2024-01-06 22:00:00,157.55,157.55,77,63.02,0.858,63.9,Running,Night,OPR-005,9.95,114.99,0.819,29.2,550,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-06 23:00:00,86.85,86.85,63,57.9,0.912,61.7,Running,Night,OPR-009,11.3,166.98,0.782,30.6,800,0,0,0
MCH-003,Fanuc 30i,100,2024-01-07 00:00:00,64.68,64.68,128,64.68,0.869,64.1,Running,Night,OPR-006,8.05,101.9,0.811,27.9,500,0,0,0
MCH-002,ABB ACS880,200,2024-01-07 01:00:00,151.42,151.42,47,75.71,0.896,66.3,Running,Night,OPR-004,8.79,98.31,0.819,32.8,600,0,0,0
MCH-002,ABB ACS880,200,2024-01-07 02:00:00,174.05,174.05,69,87.03,0.872,71.8,Running,Night,OPR-003,11.48,139.22,0.805,32.7,600,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-07 03:00:00,20.56,20.56,0,13.71,0.9,35.3,Idle,Night,OPR-007,10.3,132.95,0.804,27.0,800,1,30,1
MCH-002,ABB ACS880,200,2024-01-07 04:00:00,113.26,113.26,42,56.63,0.907,61.8,Running,Night,OPR-007,10.25,121.89,0.805,29.0,600,0,0,0
MCH-003,Fanuc 30i,100,2024-01-07 05:00:00,0.0,0.0,0,0.0,0.0,23.4,Off,Night,OPR-008,11.36,115.05,0.782,27.4,500,1,166,0
MCH-004,Mitsubishi M800,250,2024-01-07 06:00:00,209.42,209.42,70,83.77,0.98,75.5,Running,Morning,OPR-003,7.41,110.49,0.789,27.3,550,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-07 07:00:00,10.11,10.11,0,6.74,0.917,31.7,Idle,Morning,OPR-008,9.13,101.89,0.795,25.3,800,0,10,1
MCH-004,Mitsubishi M800,250,2024-01-07 08:00:00,191.83,191.83,97,76.73,0.926,66.7,Running,Morning,OPR-002,9.43,181.01,0.816,29.9,550,0,0,0
MCH-002,ABB ACS880,200,2024-01-07 09:00:00,0.0,0.0,0,0.0,0.0,22.8,Off,Morning,OPR-003,10.11,144.73,0.809,29.0,600,1,148,0
MCH-003,Fanuc 30i,100,2024-01-07 10:00:00,9.05,9.05,0,9.05,0.892,33.2,Idle,Morning,OPR-002,7.9,178.16,0.8,25.4,500,0,45,1
MCH-004,Mitsubishi M800,250,2024-01-07 11:00:00,196.79,196.79,107,78.72,0.936,68.0,Running,Morning,OPR-001,8.96,195.41,0.79,27.2,550,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-07 12:00:00,235.61,235.61,8,78.54,0.902,68.8,Running,Morning,OPR-010,7.37,75.46,0.801,38.1,700,0,0,0
